,brand,fuel_type,transmission_type,price_USD,mileage_kkm,year_made,engine_size
130,112,5,0,10999,244,2009,2.5
131,112,5,0,10500,136,2007,3.5
132,81,3,4,16500,116,2017,2.5
133,117,0,0,56945,0,2020,2.0
134,60,5,0,10900,190,2013,2.4
135,74,5,0,279048,0,2021,4.0
136,74,5,0,69982,0,2019,2.0
137,74,0,0,19999,247,2010,3.0
138,74,0,0,67515,0,2021,2.0
139,74,0,0,66381,0,2020,2.0
140,32,5,2,16466,0,2021,1.2
141,117,0,0,47067,0,2020,2.0
143,72,5,1,8300,135,2010,1.6
144,49,0,3,17800,200,2013,2.2
145,116,0,0,35999,164,2015,3.0
146,6,5,0,18200,97,2012,2.01
147,101,0,1,12700,180,2016,1.6
148,72,0,1,7700,200,2010,2.2
149,6,4,0,58000,83,2016,3.0
150,74,5,0,36555,180,2009,5.5
151,72,5,0,13800,178,2014,2.5
152,6,0,0,20499,67,2016,2.0
153,101,0,1,13100,210,2016,2.0
154,83,0,1,7950,208,2011,1.7
155,6,5,0,22500,100,2011,2.0
157,87,5,0,25200,222,2012,4.8
158,112,5,0,32400,10,2018,3.5
159,74,1,0,55310,0,2021,0.0
160,108,5,0,18988,0,2021,1.6
161,60,5,1,21140,0,2021,1.6
162,60,5,0,23677,0,2020,1.4
163,74,5,2,57018,0,2021,1.3
164,32,5,1,14583,0,2021,1.4
165,74,0,0,118115,0,2021,2.9
166,108,5,0,19397,0,2021,1.6
167,108,5,0,19868,0,2021,1.6
168,74,0,0,114207,0,2021,2.9
169,74,0,0,62816,0,2021,2.0
170,108,5,1,18275,0,2021,1.6
171,78,5,4,27038,0,2021,2.0
172,74,0,0,79555,0,2021,2.0
173,84,0,1,26734,0,2021,1.6
174,78,5,1,20378,0,2020,1.6
175,108,5,0,19180,0,2021,1.6
176,84,0,1,23957,0,2021,1.6
177,116,0,0,32800,177,2016,3.0
178,101,0,1,5500,210,2008,1.4
179,6,5,0,78999,44,2019,3.0
181,112,0,1,9499,194,2010,2.2
182,72,5,0,9850,65,2013,2.0
184,116,0,1,12999,168,2014,2.0
185,49,5,0,12400,123,2015,2.4
187,11,5,0,29300,76,2016,2.0
188,83,5,1,4900,201,2005,1.6
189,101,5,3,17000,49,2017,1.6
190,35,5,0,7100,264,2012,2.5
191,101,0,0,9999,218,2010,2.0
192,6,5,3,12000,374,2004,4.2
193,64,5,0,301731,0,2021,5.0
194,78,0,1,10500,172,2008,2.0
195,32,5,1,15470,0,2021,1.4
196,101,5,2,38638,0,2021,2.0
197,61,5,1,13715,0,2021,1.7
198,108,5,1,18456,0,2020,1.6
199,72,5,0,28816,0,2021,2.0
200,35,0,0,25594,0,2019,1.5
201,78,5,4,22659,0,2021,2.0
202,83,5,0,24613,0,2020,1.2
203,72,4,0,27715,0,2021,2.0
204,74,0,0,80332,0,2021,2.1
205,117,4,0,63698,0,2021,2.0
206,116,5,0,46000,0,2021,2.0
207,117,0,0,63021,0,2020,2.0
208,74,1,0,96371,0,2021,0.0
209,22,0,0,45853,0,2021,2.0
210,22,0,0,26638,0,2020,1.5
211,84,0,1,25085,0,2021,1.6
212,35,0,0,42071,0,2020,2.0
213,116,5,0,40995,0,2021,2.0
214,22,5,0,22852,0,2020,1.2
215,74,0,0,76104,0,2021,2.0
216,74,5,0,240392,0,2021,3.0
217,67,5,0,61080,0,2020,2.0
218,72,4,0,32862,0,2021,2.0
219,61,5,1,11724,0,2021,1.6
220,74,0,0,77141,0,2021,2.0
221,78,5,4,30948,0,2020,2.4
222,78,5,4,26532,0,2021,1.5
223,49,0,0,15999,128,2016,2.0
224,6,0,0,41500,239,2015,3.0
226,6,0,0,53600,190,2017,3.0
227,90,5,1,5299,212,2007,1.6
228,116,5,0,13850,166,2015,2.0
229,81,0,1,8999,195,2008,2.0
230,116,0,0,12700,130,2012,2.0
231,83,0,1,5350,190,2008,1.3
232,116,0,0,11499,202,2012,1.97
233,116,5,0,22500,19,2018,3.6
234,6,5,0,19500,175,2012,3.0
235,116,0,1,7700,220,2008,2.0
236,78,3,0,14600,78,2016,2.4
237,117,0,1,7750,190,2010,1.6
238,72,5,0,7000,229,2006,2.3
239,74,0,0,30500,173,2012,3.0
240,116,0,0,8750,213,2009,2.0
241,74,5,0,18800,189,2009,5.5
242,116,0,1,10900,325,2011,2.0
243,11,5,0,53500,20,2018,4.4
245,6,0,3,22500,21,2016,2.0
247,99,0,1,8700,160,2015,1.6
249,49,0,0,14999,220,2012,2.2
250,117,0,1,8750,191,2012,1.6
251,72,3,0,9999,206,2012,2.5
252,6,0,0,103900,2,2021,3.0
253,11,0,0,14999,297,2007,3.0
254,72,5,0,11500,94,2013,1.6
255,51,5,0,18000,72,2008,3.5
256,67,5,0,117000,30,2019,5.7
258,116,0,0,25900,104,2018,2.0
259,116,5,0,10500,149,2013,1.8
260,74,5,3,286700,2,2021,4.0
262,49,0,0,9500,193,2007,2.2
263,116,5,0,10900,108,2017,1.4
265,116,0,0,19900,187,2012,3.0
267,116,0,0,23500,193,2012,3.0
268,90,5,1,15962,0,2021,1.6
269,74,5,0,350320,0,2021,4.0
270,117,5,0,61235,0,2020,2.0
271,55,5,1,12850,0,2020,1.5
272,72,5,0,43432,0,2021,2.5
273,108,5,0,22112,0,2021,1.6
274,84,5,1,17329,0,2021,1.2
275,101,5,0,23827,0,2020,1.5
276,78,5,1,20089,0,2020,1.6
277,22,5,0,21243,0,2021,1.2
278,117,4,0,71804,0,2020,2.0
279,74,5,0,190659,0,2021,4.0
280,49,0,2,49784,0,2021,2.2
281,83,0,1,38694,0,2021,2.0
282,62,5,0,430048,0,2021,4.0
283,108,5,1,18275,0,2021,1.6
284,22,0,1,21251,0,2021,1.6
285,106,5,4,36059,0,2021,2.0
286,55,5,1,12850,0,2020,1.5
287,74,5,0,59203,0,2021,1.8
288,72,5,0,25663,0,2020,2.0
289,83,0,0,25880,0,2020,1.5
290,35,0,0,42132,0,2020,2.0
291,87,1,0,136444,0,2021,0.0
292,108,5,1,20990,0,2021,1.6
293,74,5,0,151954,0,2021,3.0
294,70,5,0,177093,0,2021,3.0
295,108,5,1,18093,0,2021,1.6
296,117,0,0,49033,0,2020,2.0
297,84,0,0,31508,0,2021,2.0
298,108,5,0,22764,0,2021,1.6
299,22,0,1,18858,0,2021,1.6
300,112,0,0,19500,125,2015,2.2
301,116,5,1,7700,165,2007,1.6
302,49,5,0,11000,75,2015,2.4
303,11,5,0,19500,92,2013,3.0
305,57,5,0,17800,67,2015,3.2
306,51,3,0,12000,50,2007,3.5
307,81,3,0,12000,117,2012,1.6
308,11,0,0,4900,339,2004,2.0
309,6,0,3,38999,106,2017,3.0
310,11,5,0,39500,30,2016,3.0
311,49,5,1,4699,219,2008,1.4
312,46,5,4,11500,134,2013,2.4
313,81,3,4,14200,64,2016,2.5
314,101,0,1,6400,219,2011,1.6
315,116,0,0,15200,232,2015,2.0
316,35,5,0,12990,82,2016,1.5
319,116,0,0,26639,9,2020,2.0
320,11,5,0,24000,42,2016,2.0
322,22,0,0,29608,0,2021,1.5
323,87,5,0,111933,0,2021,2.9
324,45,5,1,18025,0,2021,1.5
325,78,5,4,22767,0,2021,2.0
326,81,5,1,24046,0,2021,2.0
327,108,5,0,26242,0,2020,1.5
328,101,5,2,23195,0,2020,1.4
329,101,5,0,27324,0,2021,1.4
330,35,0,1,42675,0,2020,2.0
331,112,4,4,33176,0,2021,2.0
332,22,0,0,30161,0,2020,2.0
333,74,0,0,92708,0,2021,2.9
334,87,5,0,79933,0,2021,2.0
335,90,5,4,27948,0,2020,1.3
336,72,4,0,26025,0,2020,2.0
337,60,5,0,19195,0,2020,1.4
338,84,5,1,13900,0,2020,1.6
339,78,5,4,27473,0,2021,2.0
340,78,5,1,21247,0,2021,1.6
341,22,5,1,13574,0,2020,1.6
342,84,5,0,21734,0,2021,1.2
343,74,5,0,165000,0,2021,4.0
344,78,5,4,32540,0,2021,2.4
345,64,5,0,223479,0,2021,5.0
346,51,5,0,80364,0,2021,5.6
347,78,5,4,25663,0,2020,2.0
348,72,5,0,27111,0,2021,2.0
349,117,5,0,43983,0,2021,1.5
350,84,0,0,46403,0,2021,2.0
351,117,4,0,78158,0,2021,2.0
352,83,0,1,23437,0,2020,1.5
353,106,5,4,31805,0,2021,2.0
354,81,0,4,30140,0,2020,1.6
355,72,4,0,29598,0,2021,2.0
356,74,0,0,107876,0,2021,2.9
357,35,0,0,50747,0,2020,2.0
358,81,0,4,25040,0,2021,1.6
359,84,0,1,24251,0,2020,1.6
360,78,5,4,26278,0,2020,1.5
361,101,5,0,37700,0,2021,2.0
362,117,5,0,63698,0,2021,2.0
363,60,5,0,21019,0,2021,1.6
364,72,5,0,27111,0,2021,2.0
365,64,5,0,214755,0,2020,5.0
366,64,5,0,301999,0,2021,5.0
367,81,0,4,28152,0,2020,1.6
368,101,5,0,23345,0,2020,1.5
369,90,5,1,13031,0,2020,0.9
370,49,5,0,16719,0,2021,1.2
371,64,5,0,187239,0,2020,5.0
372,64,0,0,211399,0,2020,4.4
373,64,5,0,205359,0,2021,5.0
374,64,5,0,223479,0,2020,5.0
375,60,5,0,10000,80,2014,2.4
376,35,0,1,7299,193,2011,1.6
377,112,3,0,8700,208,2006,2.4
378,64,5,0,221466,0,2021,5.0
379,64,0,0,197306,0,2021,3.0
380,64,5,0,241599,0,2021,5.0
381,64,5,0,308040,0,2021,5.0
382,64,5,0,227103,0,2021,5.0
383,64,5,0,228177,0,2021,5.0
384,64,5,0,299315,0,2021,5.0
385,49,0,1,9000,100,2007,2.0
386,64,5,0,46700,79,2013,5.0
387,112,0,0,13999,203,2010,2.2
388,78,5,4,7700,128,2008,2.0
389,83,0,0,14500,142,2015,2.0
390,51,3,0,17500,92,2009,3.5
391,49,5,0,28490,0,2021,2.0
392,101,5,2,16500,52,2016,1.4
394,57,5,0,21000,116,2017,3.2
395,90,0,2,15900,171,2017,1.5
396,20,5,0,12000,53,2016,1.4
397,11,0,0,59500,138,2016,3.0
398,78,0,0,12200,173,2010,2.2
399,11,5,0,129320,4,2020,4.4
400,74,0,0,111000,11,2019,2.9
401,6,5,0,28900,108,2017,2.0
402,6,5,0,13200,200,2007,4.2
403,72,5,0,12800,153,2014,2.5
404,74,0,0,88500,50,2019,3.0
406,60,5,1,7299,118,2009,1.4
407,74,5,0,19000,160,2011,3.5
408,81,5,0,8000,205,2007,3.5
410,116,5,0,9200,226,2011,2.0
411,84,0,1,14000,79,2017,1.6
413,74,0,0,51000,110,2014,3.0
414,116,5,0,18700,40,2017,2.0
415,6,5,1,17200,85,2012,2.0
416,11,5,0,19999,140,2011,4.4
417,112,5,3,29000,66,2015,3.5
418,116,0,1,6999,187,2007,2.0
419,6,5,0,44298,2,2020,2.0
420,81,3,4,18500,72,2016,2.5
421,6,5,0,16500,157,2012,3.0
422,74,5,0,211400,0,2021,3.0
423,74,5,0,213816,0,2021,3.0
424,74,5,0,181199,0,2021,3.0
425,78,0,0,46146,0,2021,2.4
426,64,0,0,64217,0,2020,2.0
427,35,0,0,25301,0,2019,1.5
428,6,0,0,85249,0,2021,3.0
429,49,5,1,21989,0,2021,1.6
430,22,0,0,32383,0,2020,2.0
431,81,0,4,26339,0,2021,1.6
433,90,5,1,16875,0,2021,1.6
434,11,0,0,78605,0,2021,2.0
435,60,5,1,19932,0,2021,1.6
436,64,5,0,183616,0,2021,3.0
437,11,0,0,56723,0,2020,2.0
438,74,5,0,65957,0,2021,1.8
439,45,5,0,22820,0,2020,2.0
440,19,5,1,11400,0,2021,1.5
441,72,5,0,30300,0,2021,2.0
442,81,5,4,26033,0,2020,2.0
443,22,5,0,21766,0,2020,1.2
444,49,5,0,26025,0,2021,2.0
445,64,0,0,118521,0,2020,3.0
446,49,1,4,48343,0,2020,0.0
447,11,5,0,42447,0,2020,2.0
448,112,5,0,34146,0,2021,2.5
449,57,5,0,99500,0,2021,3.6
450,116,5,0,28004,0,2020,1.5
451,108,5,0,19651,0,2021,1.6
452,84,5,0,27169,0,2021,1.2
453,35,0,0,49802,0,2020,2.0
454,49,5,0,26600,0,2020,1.6
455,81,0,4,28152,0,2020,1.6
456,84,0,0,30242,0,2021,2.0
457,112,5,0,30116,0,2021,2.5
458,90,0,1,19459,0,2021,1.5
459,19,5,1,11400,0,2021,1.5
460,90,0,1,19557,0,2020,1.5
461,74,5,0,283880,0,2021,4.0
462,83,0,0,29319,0,2020,1.5
463,11,5,0,82808,0,2021,3.0
464,90,5,4,24552,0,2020,1.3
465,72,5,0,24791,0,2021,2.0
466,117,4,0,71622,0,2020,2.0
467,74,0,0,223480,0,2021,2.9
469,84,5,1,16913,0,2021,1.6
470,81,5,1,23517,0,2021,2.0
471,116,5,0,34300,0,2021,1.4
472,64,0,0,205046,0,2021,3.0
473,84,5,0,23346,0,2020,1.2
474,49,5,0,27654,0,2021,1.6
475,49,5,0,27654,0,2021,1.6
476,87,5,0,79933,0,2021,2.0
477,74,5,0,280256,0,2021,4.0
478,64,0,0,56438,0,2021,2.0
479,81,0,4,25739,0,2021,1.6
480,116,0,0,63270,0,2021,3.0
481,19,5,1,14400,0,2021,1.5
482,55,5,1,12850,0,2020,1.5
483,87,5,0,174810,0,2021,4.0
484,117,5,0,53998,0,2020,2.0
485,90,5,1,17298,0,2020,1.6
486,55,5,1,12850,0,2020,1.5
487,32,5,1,18605,0,2020,1.4
488,32,5,1,15470,0,2021,1.4
489,74,0,1,44334,0,2021,2.1
490,108,5,0,19180,0,2021,1.6
491,60,5,1,21128,0,2021,1.6
492,74,5,0,205111,0,2020,3.0
493,22,0,0,28808,0,2020,2.0
494,6,0,0,71921,0,2020,2.0
495,72,5,0,41397,0,2021,2.5
496,78,0,0,43978,0,2020,2.4
497,60,5,0,23435,0,2021,1.6
498,108,5,0,26311,0,2020,1.5
499,117,5,0,57597,0,2020,2.0
500,19,5,4,21900,0,2021,1.5
501,20,5,0,4599,198,2005,1.8
502,78,5,4,30948,0,2020,1.5
503,117,0,0,49033,0,2020,2.0
504,117,0,0,50793,0,2020,2.0
505,74,5,0,144959,0,2020,3.0
506,117,4,0,63698,0,2021,2.0
507,78,3,0,12500,142,2007,3.8
508,64,5,0,200527,0,2020,5.0
509,20,3,1,4350,210,2008,1.6
510,101,0,1,13200,166,2016,1.6
511,46,5,0,7250,154,2008,1.8
512,60,0,1,5650,195,2008,1.6
513,111,1,0,53800,69,2017,0.0
514,6,0,3,52000,69,2017,3.0
515,64,5,0,241599,0,2021,5.0
516,64,5,0,241599,0,2021,5.0
517,74,5,0,263075,0,2021,4.0
518,46,5,0,13800,111,2012,2.4
519,25,3,1,4000,250,2007,1.6
520,112,5,0,18700,180,2012,3.5
521,6,0,0,23999,168,2016,2.0
523,112,5,0,10500,165,2007,2.4
524,11,0,0,39900,194,2015,3.0
526,101,0,1,9999,260,2010,2.0
527,78,3,0,12300,238,2007,3.0
528,6,5,0,17500,97,2010,1.8
529,74,0,0,108000,2,2021,2.9
530,116,5,0,27900,77,2017,3.6
531,11,5,0,41950,25,2018,1.6
532,116,5,0,11800,29,2017,1.8
533,116,0,0,22499,194,2017,2.0
534,111,1,0,29900,110,2015,0.0
535,83,0,0,8600,189,2012,2.0
536,101,3,1,4100,201,2005,1.2
537,78,0,1,9300,178,2007,2.0
539,67,0,0,108155,0,2021,4.5
540,101,0,0,12999,151,2016,1.6
541,60,5,0,12300,118,2016,2.4
542,35,0,1,6500,208,2010,1.6
543,116,5,0,15900,43,2016,1.8
545,46,5,4,14500,26,2013,2.4
546,6,0,0,19500,58,2016,2.0
547,90,0,1,14995,136,2017,1.6
549,87,5,0,35900,117,2013,4.8
550,116,5,0,17299,110,2017,3.6
551,60,4,0,15100,38,2018,2.0
553,90,5,1,18525,0,2021,1.6
554,56,5,0,75681,0,2020,2.0
555,70,5,0,125685,0,2019,3.0
556,83,0,1,23491,0,2020,1.5
557,117,0,0,71622,0,2020,2.0
558,83,0,0,44250,0,2021,2.0
559,84,0,0,40855,0,2021,2.0
560,74,0,0,80749,0,2020,2.0
561,32,5,1,21605,0,2020,1.0
562,81,0,4,25040,0,2021,1.6
563,83,0,0,33662,0,2019,2.0
564,19,5,1,13000,0,2020,1.5
565,19,5,0,22000,0,2020,1.5
566,84,0,0,31852,0,2021,2.0
567,112,4,4,36639,0,2021,2.0
568,108,5,0,19180,0,2021,1.6
569,74,0,0,93130,0,2021,2.0
570,78,5,4,28269,0,2021,2.0
571,30,5,1,15199,0,2020,2.0
572,108,4,4,18094,0,2020,1.2
573,64,0,0,88112,0,2021,3.0
574,74,0,0,124424,0,2020,2.9
575,22,0,1,20052,0,2021,1.6
576,90,0,1,14478,0,2020,1.5
577,101,5,1,24917,0,2020,1.5
578,78,5,4,24577,0,2021,2.0
579,45,5,0,21626,0,2021,2.0
580,84,0,0,26260,0,2020,1.5
581,90,0,1,14268,0,2021,1.5
582,101,5,0,22900,0,2021,1.4
583,6,0,3,98616,0,2020,3.0
584,116,5,0,71211,0,2020,3.0
585,78,5,4,30405,0,2020,1.5
586,51,5,4,47308,0,2020,2.0
587,72,5,0,31545,0,2021,2.5
588,22,0,0,36744,0,2021,2.0
589,106,4,4,41625,0,2020,2.0
590,49,0,0,38755,0,2021,1.6
591,90,5,1,18706,0,2021,1.6
592,22,0,0,29847,0,2021,1.5
593,72,5,0,29858,0,2021,2.0
594,64,0,0,83316,0,2021,3.0
595,116,5,0,42785,0,2021,2.0
596,19,5,0,22000,0,2020,1.5
597,78,0,0,49227,0,2020,2.4
598,30,5,1,14113,0,2020,1.6
599,35,0,1,52751,0,2021,2.0
600,87,1,0,218648,0,2021,0.0
601,108,5,0,22474,0,2020,1.4
602,56,5,0,55798,0,2021,2.0
603,74,5,0,269940,0,2020,4.0
604,22,5,1,14370,0,2020,1.2
605,81,5,1,19645,0,2021,1.2
606,84,5,0,23527,0,2020,1.2
607,117,0,0,69781,0,2020,2.0
608,22,5,1,13809,0,2020,1.6
609,74,5,0,67614,0,2021,2.0
610,81,5,1,22548,0,2020,2.0
611,108,5,0,19868,0,2021,1.6
612,11,0,0,140650,0,2021,3.0
613,6,0,0,71921,0,2020,2.0
614,30,5,0,11760,0,2019,1.6
615,83,0,0,33662,0,2019,2.0
616,84,0,0,31002,0,2020,2.0
617,74,5,0,62303,0,2021,1.8
618,117,5,0,56839,0,2020,2.0
619,101,5,2,38000,0,2020,2.0
620,72,5,0,28816,0,2021,2.0
621,60,5,1,19932,0,2021,1.6
622,22,0,0,27096,0,2020,1.5
623,72,5,0,28816,0,2021,2.0
624,116,5,0,44777,0,2021,2.0
625,81,5,1,20894,0,2021,1.2
626,51,5,4,50146,0,2020,2.0
627,81,5,4,26743,0,2020,2.0
628,60,5,1,22348,0,2021,1.6
629,6,0,0,95340,0,2020,3.0
630,116,5,0,30500,0,2021,1.5
632,11,5,0,83063,0,2021,3.0
633,74,5,0,49280,0,2021,1.3
634,58,5,1,18400,0,2021,1.5
635,61,5,1,11185,0,2021,1.6
636,64,0,0,53986,0,2020,2.0
637,46,4,4,43866,0,2020,2.0
639,72,5,0,27111,0,2021,2.0
640,116,5,0,70990,0,2020,3.0
641,67,5,0,85366,0,2021,4.6
642,6,0,0,88500,0,2021,3.0
643,87,5,0,88776,0,2021,2.0
644,81,5,4,20245,0,2020,1.2
645,117,4,0,61209,0,2020,2.0
646,117,0,0,48670,0,2020,2.0
647,90,5,1,17027,0,2021,1.6
649,81,5,4,22323,0,2021,1.2
650,78,5,4,33626,0,2021,1.5
651,108,5,1,21243,0,2021,1.6
652,74,5,0,223479,0,2021,3.0
653,32,5,2,22612,0,2020,1.4
654,81,0,4,23172,0,2021,1.6
655,108,5,0,22366,0,2021,1.6
656,83,0,1,6900,190,2010,1.7
657,6,0,0,11999,235,2011,2.0
658,117,0,0,48235,0,2020,2.0
659,106,5,0,31250,11,2019,2.5
660,64,5,0,223480,0,2021,5.0
662,35,5,1,7800,142,2012,1.6
663,46,5,0,18100,30,2017,1.5
664,101,5,2,37465,0,2021,2.0
665,49,5,1,8900,189,2016,2.0
666,35,5,0,9899,62,2016,2.0
667,90,3,1,8000,180,2012,1.6
668,78,0,3,22900,108,2012,3.2
670,84,3,1,7490,129,2016,1.2
671,6,5,3,15200,201,2008,3.2
672,74,0,0,35000,111,2015,2.2
673,64,0,0,214755,0,2021,4.4
674,87,4,0,45900,125,2014,3.0
676,101,0,1,8999,191,2012,1.6
677,69,5,0,24650,53,2016,3.7
678,116,5,0,10500,99,2013,2.5
679,112,3,0,13500,103,2009,2.0
680,112,4,0,24500,60,2017,2.5
681,72,5,0,28816,0,2021,2.0
682,72,5,0,24791,0,2021,2.0
683,72,5,0,28816,0,2021,2.0
684,72,5,0,28816,0,2021,2.0
685,72,5,0,24791,0,2021,2.0
686,72,5,0,28816,0,2021,2.0
687,49,5,0,16900,286,2014,3.3
688,20,5,1,4700,94,2008,1.5
689,112,0,0,150000,14,2013,4.5
690,35,3,1,5800,204,2007,1.6
691,49,5,1,6900,149,2011,1.4
692,90,0,1,8350,189,2012,1.5
693,90,0,2,7950,175,2012,1.5
695,20,5,1,4500,155,2007,1.5
696,90,0,1,8900,215,2011,1.5
697,6,0,0,21500,51,2016,2.0
698,81,3,4,14600,132,2011,3.5
699,87,3,0,10000,220,2003,4.5
700,116,0,0,18500,219,2011,3.0
701,101,5,1,9700,208,2009,1.6
702,90,5,1,8600,10,2012,1.6
703,111,1,0,37999,56,2017,0.0
704,74,5,0,53000,65,2015,4.7
705,116,0,0,22999,161,2018,2.0
707,6,0,0,30700,128,2014,3.0
708,116,5,1,4450,303,2000,1.6
710,116,0,0,23401,240,2017,2.0
711,90,0,2,16300,71,2018,1.5
712,64,0,0,58500,88,2015,4.4
713,116,0,0,12700,212,2014,2.0
714,84,0,1,10490,164,2016,1.5
715,78,5,4,26532,0,2021,1.5
716,49,5,0,29862,0,2021,2.0
717,101,3,1,6999,176,2010,1.6
718,46,3,0,8500,282,2007,2.4
719,11,0,0,69000,22,2020,2.0
720,111,1,0,46888,4,2019,0.0
721,111,1,0,48888,15,2019,0.0
722,111,1,0,48888,15,2019,0.0
723,6,5,0,55000,57,2013,4.0
724,11,0,0,66900,63,2016,3.0
725,77,5,0,12500,153,2013,1.6
726,49,0,0,10750,223,2008,2.2
727,90,5,1,7400,10,2008,1.6
728,72,0,1,8500,174,2011,2.2
729,20,5,0,17200,27,2018,1.5
730,11,0,0,19400,136,2014,2.0
731,28,5,0,15500,91,2011,3.6
732,35,5,1,9000,96,2013,1.0
733,101,0,0,7300,186,2007,1.9
734,6,5,0,29499,32,2017,2.0
735,74,0,0,169580,3,2021,2.9
736,101,0,0,13900,186,2018,1.6
737,84,5,1,8300,197,2011,1.6
738,83,0,1,10500,225,2012,2.0
740,81,3,0,19800,67,2018,1.6
741,11,5,0,22450,108,2013,3.0
742,116,5,0,7900,290,2008,1.8
744,6,4,3,162870,5,2020,4.0
746,116,0,0,15950,182,2016,2.0
